profile_key,name,wikidata_id,source_url,wikipedia_url,category,birth_date,death_date,birth_place,country,gender,occupation,occupations,description,sitelinks,data_quality,notes
abhik_roychoudhury_q102264148,Abhik Roychoudhury,Q102264148,https://www.wikidata.org/wiki/Q102264148,https://en.wikipedia.org/wiki/Abhik_Roychoudhury,science,,,,,male,computer scientist,computer scientist,Ph.D. State University of New York at Stony Brook 2000,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abraham_mapu_q330301,Abraham Mapu,Q330301,https://www.wikidata.org/wiki/Q330301,https://en.wikipedia.org/wiki/Abraham_Mapu,literature,1807-12-28,1867-09-27,Kaunas,Russian Empire,male,poet,poet; writer; novelist,Hebrew novelist (1808–1867),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abraham_ibn_ezra_q270670,Abraham ibn Ezra,Q270670,https://www.wikidata.org/wiki/Q270670,https://en.wikipedia.org/wiki/Abraham_ibn_Ezra,philosophy,1089-00-00,1167-01-23,Tudela,,male,poet,poet; rabbi; writer; translator; philosopher; astrologer; physician; astronomer; mathematician; exegete,12th-century Sephardic rabbi and astrologer,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abram_anikst_q4066264,Abram Anikst,Q4066264,https://www.wikidata.org/wiki/Q4066264,https://en.wikipedia.org/wiki/Abram_Anikst,politics,1887-01-01,1938-03-19,Chișinău,Soviet Union,male,economist,economist; revolutionary; anarchist; labor leader; politician,Soviet economist (1887-1938),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abu_bakar_bin_abdul_jamal_q4670082,Abu Bakar bin Abdul Jamal,Q4670082,https://www.wikidata.org/wiki/Q4670082,https://en.wikipedia.org/wiki/Abu_Bakar_Abdul_Jamal,prominent_figure,1946-11-13,,Johor,Malaysia,male,,,Royal Malaysian Navy admiral,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abubakar_tafawa_balewa_q335684,Abubakar Tafawa Balewa,Q335684,https://www.wikidata.org/wiki/Q335684,https://en.wikipedia.org/wiki/Abubakar_Tafawa_Balewa,politics,1912-01-01,1966-01-15,Bauchi,Nigeria,male,politician,politician; diplomat; writer; official; teacher,Nigerian politician (1912-1966),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abul_qasim_ibn_mohammed_al_ghassani_q4670605,Abul Qasim ibn Mohammed al-Ghassani,Q4670605,https://www.wikidata.org/wiki/Q4670605,https://en.wikipedia.org/wiki/Abul_Qasim_ibn_Mohammed_al-Ghassani,literature,1548-00-00,1610-01-01,Fez,,male,pharmacist,pharmacist; physician; writer,Moroccan physician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
achola_pala_q117976940,Achola Pala,Q117976940,https://www.wikidata.org/wiki/Q117976940,https://en.wikipedia.org/wiki/Achola_Pala,prominent_figure,,,,Kenya,female,anthropologist,anthropologist; sociologist,"a Kenyan anthropologist, sociologist, and women's policy specialist",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ada_yonath_q7426,Ada Yonath,Q7426,https://www.wikidata.org/wiki/Q7426,https://en.wikipedia.org/wiki/Ada_Yonath,science,1939-06-22,,Jerusalem,Israel,female,molecular biologist,molecular biologist; chemist; university teacher; crystallographer; biochemist; scientist; biologist,Israeli chemist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adah_almutairi_q16125107,Adah Almutairi,Q16125107,https://www.wikidata.org/wiki/Q16125107,https://en.wikipedia.org/wiki/Adah_Almutairi,science,1976-11-01,,Portland,United States,female,academic,academic; inventor; entrepreneur; pharmaceutical chemist,American academic,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adam_guettel_q4679169,Adam Guettel,Q4679169,https://www.wikidata.org/wiki/Q4679169,https://en.wikipedia.org/wiki/Adam_Guettel,literature,1964-12-16,,Manhattan,United States,male,composer,composer; lyricist; songwriter; musician,American composer (born 1964),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adam_kraft_q350212,Adam Kraft,Q350212,https://www.wikidata.org/wiki/Q350212,https://en.wikipedia.org/wiki/Adam_Kraft,visual_art,1450-01-01,1509-01-01,Nuremberg,Germany,male,sculptor,sculptor; architect,German sculptor (15. century),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adam_riess_q106454,Adam Riess,Q106454,https://www.wikidata.org/wiki/Q106454,https://en.wikipedia.org/wiki/Adam_Riess,science,1969-12-16,,"Washington, D.C.",United States,male,astronomer,astronomer; professor; physicist; astrophysicist; researcher,American astrophysicist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adherbal_q356605,Adherbal,Q356605,https://www.wikidata.org/wiki/Q356605,https://en.wikipedia.org/wiki/Adherbal_%28admiral%29,military,-0201-01-0,,,Ancient Carthage,male,military officer,military officer,Cartaginian admiral,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adnan_menderes_q238745,Adnan Menderes,Q238745,https://www.wikidata.org/wiki/Q238745,https://en.wikipedia.org/wiki/Adnan_Menderes,politics,1899-01-01,1961-09-17,Aydın,Turkey,male,politician,politician,Turkish statesperson (1899–1961),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adolf_butenandt_q5327,Adolf Butenandt,Q5327,https://www.wikidata.org/wiki/Q5327,https://en.wikipedia.org/wiki/Adolf_Butenandt,science,1903-03-24,1995-01-18,Bremerhaven,Germany,male,biochemist,biochemist; chemist; politician; university teacher,German biochemist (1903-1995),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adolf_rudnicki_q2713071,Adolf Rudnicki,Q2713071,https://www.wikidata.org/wiki/Q2713071,https://en.wikipedia.org/wiki/Adolf_Rudnicki,literature,1912-02-19,1990-11-14,Żabno,Poland,male,writer,writer,Polish author (1912–1990),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adolf_von_baeyer_q57078,Adolf von Baeyer,Q57078,https://www.wikidata.org/wiki/Q57078,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,science,1835-10-31,1917-08-20,Berlin,German Empire,male,chemist,chemist; university teacher,German chemist (1835-1917),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adolph_green_q329849,Adolph Green,Q329849,https://www.wikidata.org/wiki/Q329849,https://en.wikipedia.org/wiki/Adolph_Green,literature,1914-12-02,2002-10-23,The Bronx,United States,male,screenwriter,screenwriter; songwriter; librettist; lyricist; actor; television actor; singer,American lyricist and playwright (1914-2002),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
adolph_modéer_q2824743,Adolph Modéer,Q2824743,https://www.wikidata.org/wiki/Q2824743,https://en.wikipedia.org/wiki/Adolph_Mod%C3%A9er,science,1739-04-15,1799-07-16,Royal Karlskrona Admiralty parish,Sweden,male,economist,economist; naturalist; malacologist; entomologist,Swedish scientist and academic (1739-1799),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aelia_eudocia_q229307,Aelia Eudocia,Q229307,https://www.wikidata.org/wiki/Q229307,https://en.wikipedia.org/wiki/Aelia_Eudocia,politics,0401-01-01,0460-10-21,Athens,Byzantine Empire,female,poet,poet; writer; sovereign,Greek Eastern Roman Empress by marriage to Byzantine emperor Theodosius II (c.401-460),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
afwa_thameur_q57249777,Afwa Thameur,Q57249777,https://www.wikidata.org/wiki/Q57249777,https://en.wikipedia.org/wiki/Afwa_Thameur,prominent_figure,,,,Tunisia,female,agronomist,agronomist; botanist; academic,Tunisian agronomist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
agathe_uwilingiyimana_q243047,Agathe Uwilingiyimana,Q243047,https://www.wikidata.org/wiki/Q243047,https://en.wikipedia.org/wiki/Agathe_Uwilingiyimana,politics,1953-05-23,1994-04-07,Commune of Mwumba,Rwanda,female,politician,politician; teacher; minister,Prime Minister of Rwanda (1953-1994),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
agdanbuugyn_amar_q45281,Agdanbuugyn Amar,Q45281,https://www.wikidata.org/wiki/Q45281,https://en.wikipedia.org/wiki/Anandyn_Amar,politics,1886-01-01,1941-07-10,Khangal,Mongolia,male,politician,politician,former president of Mongolia (1886-1941),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
agostino_paravicini_bagliani_q3606806,Agostino Paravicini Bagliani,Q3606806,https://www.wikidata.org/wiki/Q3606806,https://en.wikipedia.org/wiki/Agostino_Paravicini_Bagliani,prominent_figure,1943-11-19,,Bergamo,Italy,male,historian,historian; medievalist,Italian historian,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmad_maher_pasha_q1572537,Ahmad Maher Pasha,Q1572537,https://www.wikidata.org/wiki/Q1572537,https://en.wikipedia.org/wiki/Ahmad_Maher_Pasha,politics,1888-01-01,1945-02-24,Cairo,Egypt,male,politician,politician; minister,Egyptian Prime Minister (1888-1945),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmad_salim_uld_sidi_q29549453,Ahmad Salim uld Sidi,Q29549453,https://www.wikidata.org/wiki/Q29549453,https://en.wikipedia.org/wiki/Ahmed_Salim_Ould_Sidi,politics,1939-00-00,1981-03-16,,Mauritania,male,politician,politician; minister,Mauritanian politician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmad_ibn_abi_khalid_al_ahwal_q11904462,Ahmad ibn Abi Khalid al-Ahwal,Q11904462,https://www.wikidata.org/wiki/Q11904462,https://en.wikipedia.org/wiki/Ahmad_ibn_Abi_Khalid_al-Ahwal,military,,,,,male,secretary,secretary,military leader and administrator during the Abbasid Caliphate,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmed_al_harrasi_q96014667,Ahmed Al-Harrasi,Q96014667,https://www.wikidata.org/wiki/Q96014667,https://en.wikipedia.org/wiki/Ahmed_Al-Harrasi,prominent_figure,,,Nizwa,,male,researcher,researcher,researcher,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmed_k_elmagarmid_q1834734,Ahmed K. Elmagarmid,Q1834734,https://www.wikidata.org/wiki/Q1834734,https://en.wikipedia.org/wiki/Ahmed_K._Elmagarmid,science,1954-03-19,,Libya,Libya,male,computer scientist,computer scientist; researcher,Computer Scientist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmed_shahe_durrani_q46798,Ahmed Shahe Durrani,Q46798,https://www.wikidata.org/wiki/Q46798,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,politics,1722-00-00,1772-10-00,Herat,Durrani Empire,male,monarch,monarch; poet,founder of the Afghan Durrani Empire (r. 1747–1772),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmed_timol_q16007149,Ahmed Timol,Q16007149,https://www.wikidata.org/wiki/Q16007149,https://en.wikipedia.org/wiki/Ahmed_Timol,prominent_figure,1941-11-03,1971-10-27,Breyten,South Africa,male,revolutionary,revolutionary; anti-apartheid activist,South African revolutionary,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
ahmed_zewail_q106624,Ahmed Zewail,Q106624,https://www.wikidata.org/wiki/Q106624,https://en.wikipedia.org/wiki/Ahmed_Zewail,science,1946-02-26,2016-08-02,Damanhur,Egypt,male,chemist,chemist; university teacher; inventor; physicist,Egyptian chemist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aida_fernández_ríos_q21997886,Aida Fernández Ríos,Q21997886,https://www.wikidata.org/wiki/Q21997886,https://en.wikipedia.org/wiki/Aida_Fern%C3%A1ndez_R%C3%ADos,science,1947-03-04,2015-12-22,Vigo,Spain,female,marine biologist,marine biologist; climatologist,"Spanish climate scientist, marine biologist, and professor (1947–2015)",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aidar_akayev_q4059278,Aidar Akayev,Q4059278,https://www.wikidata.org/wiki/Q4059278,https://en.wikipedia.org/wiki/Aidar_Akayev,politics,1976-02-20,2020-02-05,Saint Petersburg,Soviet Union,male,politician,politician; entrepreneur,Kyrgyz politician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aini_ideris_q56224098,Aini Ideris,Q56224098,https://www.wikidata.org/wiki/Q56224098,https://en.wikipedia.org/wiki/Aini_Ideris,science,1954-01-01,,Kelantan,Malaysia,female,biologist,biologist; researcher,Malaysian academic and veterinarian,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aistis_raudys_q137554619,Aistis Raudys,Q137554619,https://www.wikidata.org/wiki/Q137554619,https://en.wikipedia.org/wiki/Aistis_Raudys,science,,,,,male,computer scientist,computer scientist; scientist,Latvian computer scientist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aklilu_habte_wold_q420192,Aklilu Habte-Wold,Q420192,https://www.wikidata.org/wiki/Q420192,https://en.wikipedia.org/wiki/Aklilu_Habte-Wold,politics,1912-03-12,1974-11-23,Addis Ababa,Ethiopia,male,politician,politician; minister,Ethiopian Prime Minister (1912-1974),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
akong_rinpoche_q420512,Akong Rinpoche,Q420512,https://www.wikidata.org/wiki/Q420512,https://en.wikipedia.org/wiki/Akong_Rinpoche,literature,1940-04-04,2013-10-08,Riwoche County,People's Republic of China,male,academic,academic; writer,"spiritual master in Kagyu school, who brought tibetan buddhism in Europe (1940-2013)",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_dubin_q180899,Al Dubin,Q180899,https://www.wikidata.org/wiki/Q180899,https://en.wikipedia.org/wiki/Al_Dubin,literature,1891-06-10,1945-02-11,Zurich,United States,male,composer,composer; songwriter; lyricist; film score composer; actor; writer; poet,Swiss-American lyricist (1891–1945),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_hoffman_q2829347,Al Hoffman,Q2829347,https://www.wikidata.org/wiki/Q2829347,https://en.wikipedia.org/wiki/Al_Hoffman,literature,1902-09-25,1960-07-21,Stoŭbcy District,United States,male,songwriter,songwriter; composer; film score composer; publisher; poet,Russian-born American song composer (1902-1960),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_kasha_q570352,Al Kasha,Q570352,https://www.wikidata.org/wiki/Q570352,https://en.wikipedia.org/wiki/Al_Kasha,literature,1937-01-22,2020-09-14,Brooklyn,United States,male,composer,composer; songwriter; film score composer,"American composer, songwriter, arranger and businessman (1937-2020)",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_jaldaki_q4164868,Al-Jaldaki,Q4164868,https://www.wikidata.org/wiki/Q4164868,https://en.wikipedia.org/wiki/Al-Jildaki,science,,1342-00-00,Cairo,,male,chemist,chemist; physician; writer,physician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_khazini_q2991836,Al-Khazini,Q2991836,https://www.wikidata.org/wiki/Q2991836,https://en.wikipedia.org/wiki/Al-Khazini,philosophy,1077-00-00,1155-00-00,Iran,Seljuk Empire,male,astronomer,astronomer; philosopher; mechanician; physicist; astrologer; mathematician,"astronomer, philosopher and mechanician (1100-1200)",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
al_tughrai_q4164865,Al-Tughrai,Q4164865,https://www.wikidata.org/wiki/Q4164865,https://en.wikipedia.org/wiki/Al-Tughra%27i,science,1061-00-00,1121-00-00,Isfahan,Seljuk Empire,male,physician,physician; scientist; poet; linguist; writer,physician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aladdin_al_droubi_q4171150,Aladdin Al-Droubi,Q4171150,https://www.wikidata.org/wiki/Q4171150,https://en.wikipedia.org/wiki/Aladdin_al-Droubi,politics,1870-01-01,1920-08-21,Damascus,,male,politician,politician,Syrian politician (1870–1920),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alain_boublil_q284540,Alain Boublil,Q284540,https://www.wikidata.org/wiki/Q284540,https://en.wikipedia.org/wiki/Alain_Boublil,literature,1941-03-05,,Tunis,France,male,librettist,librettist; composer; screenwriter; lyricist; writer,French musical theatre lyricist and librettist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alan_j_heeger_q106751,Alan J. Heeger,Q106751,https://www.wikidata.org/wiki/Q106751,https://en.wikipedia.org/wiki/Alan_J._Heeger,science,1936-01-22,,Sioux City,United States,male,physicist,physicist; chemist; engineer; university teacher,"American chemist, physicist",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alan_macdiarmid_q110942,Alan MacDiarmid,Q110942,https://www.wikidata.org/wiki/Q110942,https://en.wikipedia.org/wiki/Alan_MacDiarmid,science,1927-04-14,2007-02-07,Masterton,New Zealand,male,chemist,chemist; engineer; university teacher,New Zealand chemist (1927–2007),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alan_orr_anderson_q2830568,Alan Orr Anderson,Q2830568,https://www.wikidata.org/wiki/Q2830568,https://en.wikipedia.org/wiki/Alan_Orr_Anderson,prominent_figure,1879-01-01,1958-01-01,,United Kingdom,male,historian,historian,Scottish historian and compiler (1879–1958),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_aftalion_q1345673,Albert Aftalion,Q1345673,https://www.wikidata.org/wiki/Q1345673,https://en.wikipedia.org/wiki/Albert_Aftalion,prominent_figure,1874-10-21,1956-12-06,Ruse,France,male,economist,economist; university teacher,French economist (1874–1956),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_chernenko_q1961302,Albert Chernenko,Q1961302,https://www.wikidata.org/wiki/Q1961302,https://en.wikipedia.org/wiki/Albert_Chernenko,philosophy,1935-01-06,2009-04-11,Novosyolovo,Soviet Union,male,philosopher,philosopher; writer,Russian philosopher (1935-2009),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_drach_q94480,Albert Drach,Q94480,https://www.wikidata.org/wiki/Q94480,https://en.wikipedia.org/wiki/Albert_Drach,literature,1902-12-17,1995-03-27,Vienna,Austria,male,writer,writer; jurist; poet lawyer; lawyer; prose writer; playwright; novelist,Austrian writer (1902-1995),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_dresden_vandam_q17022771,Albert Dresden Vandam,Q17022771,https://www.wikidata.org/wiki/Q17022771,https://en.wikipedia.org/wiki/Albert_Dresden_Vandam,literature,1843-03-00,1903-10-25,Amsterdam,Kingdom of the Netherlands,male,journalist,journalist; writer; publicist,English journalist and writer (1843-1903),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_einstein_q937,Albert Einstein,Q937,https://www.wikidata.org/wiki/Q937,https://en.wikipedia.org/wiki/Albert_Einstein,philosophy,1879-03-14,1955-04-18,Ulm,Kingdom of Württemberg,male,theoretical physicist,theoretical physicist; philosopher of science; inventor; science writer; pedagogue; university teacher; physicist; philosopher; writer; scientist; mathematician; patent examiner; professor; pacifist,German-born theoretical physicist (1879–1955),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_hague_q2605041,Albert Hague,Q2605041,https://www.wikidata.org/wiki/Q2605041,https://en.wikipedia.org/wiki/Albert_Hague,literature,1920-10-13,2001-11-12,Berlin,Germany,male,songwriter,songwriter; composer; actor; television actor; film actor,American songwriter (1920–2001),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albert_santoli_q3210538,Albert Santoli,Q3210538,https://www.wikidata.org/wiki/Q3210538,https://en.wikipedia.org/wiki/Albert_Santoli,military,1949-01-01,,,,male,military historian,military historian; writer,American historian,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alberto_arnoldi_q1091222,Alberto Arnoldi,Q1091222,https://www.wikidata.org/wiki/Q1091222,https://en.wikipedia.org/wiki/Alberto_Arnoldi,visual_art,1350-00-00,1377-00-00,Lombardy,Italy,male,sculptor,sculptor; architect,Italian artist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
albertus_de_saxonia_q61044,Albertus de Saxonia,Q61044,https://www.wikidata.org/wiki/Q61044,https://en.wikipedia.org/wiki/Albert_of_Saxony_%28philosopher%29,philosophy,1316-00-00,1390-07-08,Bahrdorf,Germany,male,mathematician,mathematician; philosopher; university teacher; Catholic priest; Catholic bishop,German theologian and philosopher (c.1320-1390),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
alcinda_honwana_q96505937,Alcinda Honwana,Q96505937,https://www.wikidata.org/wiki/Q96505937,https://en.wikipedia.org/wiki/Alcinda_Honwana,prominent_figure,1962-00-00,,Portuguese Mozambique,Mozambique,female,anthropologist,anthropologist; academic,Mozambican anthropologist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aledjuq_of_hatuqay_q138632152,Aledjuq of Hatuqay,Q138632152,https://www.wikidata.org/wiki/Q138632152,https://en.wikipedia.org/wiki/Aledjuq_of_Hatuqay,military,,,,,male,military leader,military leader,16th-century Circassian prince of the Hatuqay principality,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
